Area;Circ.;Feret;FeretX;FeretY;FeretAngle;MinFeret;AR;Round;Solidity
157250;680;18062;1535000;500;131634;13500;1101;908;937
2059750;771;62097;753500;16500;165069;46697;1314;761;972
1961500;842;57871;727000;65000;71878;46923;1139;878;972
5428500;709;114657;1494500;83500;19620;63449;1896;528;947
374000;699;29262;2328000;34000;33147;16000;1515;660;970
606750;645;42521;2293500;19500;131186;20829;2021;495;946
1105250;682;52787;2247000;35500;174019;29766;1741;574;955
800750;744;42030;2405000;57500;32367;29009;1498;667;955
1848250;782;60618;814500;32500;118045;44729;1306;765;972
1916000;744;59112;2327000;35500;125707;44136;1357;737;932
737250;793;35920;2441000;36000;141216;27507;1233;811;957
774750;649;47011;665000;51000;178781;23826;1753;570;945
4460750;785;87116;2299000;42000;92961;72408;1149;870;966
3352500;809;74475;728000;65500;147057;58971;1205;830;971
1540000;839;53397;2363000;83500;46138;41496;1188;842;977
353250;650;30700;801000;80500;83454;15290;2075;482;935
1446000;796;52010;663500;104000;88898;40558;1154;866;948
1510500;814;52738;708000;105500;84560;41366;1107;903;963
772250;720;44944;2401000;79000;20854;24596;1781;561;956
1313250;824;48765;2445000;90000;15461;39888;1195;837;969
2772500;667;85537;1514500;87500;1675;44226;2096;477;971
274000;720;24546;2443000;89000;86496;17463;1383;723;934
2627500;797;65401;801500;82000;143393;56452;1123;890;976
91000;673;15524;2389500;88000;14931;8496;1654;604;867
2115500;825;65521;2398000;93000;164055;45717;1444;692;976
1753250;792;63295;685000;83500;99090;39169;1490;671;968
568500;808;31851;1494000;85000;137545;25246;1236;809;954
574750;715;33615;2343500;105000;30379;24659;1310;763;946
3900750;815;80089;1549000;137000;28325;64608;1205;830;979
1570750;666;57265;2312000;141000;61869;34770;1536;651;919
2475500;829;66862;2223000;148000;62860;49645;1259;795;977
589750;767;34907;2369000;114500;38019;25515;1254;798;966
1589500;753;56189;712500;134000;29302;41202;1247;802;964
1642000;794;55866;1406000;97000;135725;40597;1279;782;970
62500;609;12619;2455500;98500;123690;9736;1283;779;874
569750;746;32249;647500;99500;97125;25886;1180;848;942
855500;843;40249;1487500;99500;116565;31000;1205;830;973
119750;716;17000;2463500;110500;28072;9500;1572;636;946
2190000;809;67136;752000;162000;55008;44902;1338;747;975
623250;669;39284;1447000;135000;42421;27505;1372;729;905
1391000;772;51928;1509000;150500;38746;42113;1130;885;955
573000;717;36514;1704000;143500;88431;25503;1302;768;940
1445750;767;51196;1358500;128500;167593;40924;1066;938;965
316250;651;31241;2343000;131500;39806;14926;1980;505;939
1825500;803;55707;2357500;148000;28405;46812;1114;898;972
2811000;831;69300;581500;123000;171285;53080;1293;774;979
454250;733;30602;2262000;111500;94686;23882;1203;831;945
3979500;795;84978;2440500;167500;25811;69016;1076;929;958
987500;731;44525;853500;166500;88069;34004;1302;768;955
1176500;733;52595;651500;132000;150998;32958;1555;643;960
1522000;738;54279;2408000;123500;121054;41037;1072;933;966
416250;746;32280;1716000;156000;73811;18185;1680;595;938
2699250;759;74841;2255000;187500;49606;56281;1322;757;967
499250;766;34514;1447500;137000;1660;22130;1468;681;946
1844750;758;63240;2160000;154500;4989;40904;1509;663;934
1228500;818;44204;2518000;131000;142352;38994;1004;996;964
169250;697;19526;902000;129500;92936;13384;1171;854;898
268250;659;27722;1730500;130000;140856;15228;1845;542;941
76250;598;13416;2256500;131500;116565;10994;1271;787;863
485000;781;29125;823000;133000;145491;23660;1164;859;950
1624500;725;58713;903000;151000;4885;38378;1612;620;967
386750;772;30004;2329000;145000;23575;18826;1519;658;960
111000;690;16651;809500;144500;41348;10071;1527;655;907
113000;677;18200;795000;140500;20925;10000;1720;581;912
420750;833;26120;711500;135000;95492;22692;1090;917;957
520500;655;35934;720000;142500;148079;24797;1311;763;947
4347750;811;83380;1423000;217000;73630;72543;1114;898;967
550750;831;31409;1477500;144500;166185;22000;1272;786;971
600000;723;35924;1547500;137000;98807;22274;1381;724;920
997500;637;51152;1382500;177000;39447;31728;1796;557;897
2530500;783;66590;793500;141000;100382;54400;1149;870;942
142000;678;19812;891000;161000;79824;12000;1454;688;930
711500;729;41140;2222500;159500;20638;23435;1698;589;952
640750;753;37726;2312000;142500;124743;26341;1286;777;960
179750;707;19812;875000;158500;42955;14500;1411;709;949
221250;748;22192;1465500;151500;157479;14241;1370;730;924
1155500;738;47927;1685500;190000;66644;34336;1310;763;964
1157500;764;48417;1718000;157000;144669;34703;1339;747;964
749750;745;38733;639500;187000;78835;28424;1257;796;947
1284750;722;49980;1504500;159000;160115;33480;1478;677;947
43500;498;13601;2147000;155500;17103;6187;2291;437;831
2120500;801;62550;2340000;153500;140839;47668;1235;810;975
333250;676;26707;831500;171500;51843;18025;1316;760;927
3222500;697;90050;1616500;197000;29982;53696;1479;676;941
969250;713;43046;585500;187500;30735;34416;1034;967;954
1002000;713;47605;2120500;182000;36027;27673;1820;549;960
468500;828;27830;554500;168000;17784;24333;1103;906;950
201250;678;23119;895000;176000;68429;14193;1349;741;906
